,,note,set_name,instr,PC,EXC,pan
48,5,C,analog,,26,,
48,6,C,jazz,,33,,
48,7,C,brush,,41,,
48,8,C,orchestra,,49,,
48,9,C,sfx,,57,,
49,1,C#,standard,Crash Cymbal 1,1,,84
49,2,C#,room,@,9,,
49,3,C#,power,@,17,,
49,4,C#,electronic,,25,,
49,5,C#,analog,,26,,
49,6,C#,jazz,,33,,
49,7,C#,brush,,41,,
49,8,C#,orchestra,,49,,
49,9,C#,sfx,,57,,
50,1,D,standard,High Tom,1,,94
50,2,D,room,Room Hi Tom 1,9,,94
50,3,D,power,Power Hi Tom 1,17,,94
50,4,D,electronic,,25,,
50,5,D,analog,,26,,
50,6,D,jazz,,33,,
50,7,D,brush,,41,,
50,8,D,orchestra,,49,,
50,9,D,sfx,,57,,
51,1,D#,standard,Ride Cymbal 1,1,,44
51,2,D#,room,@,9,,
51,3,D#,power,@,17,,
51,4,D#,electronic,,25,,
51,5,D#,analog,,26,,
51,6,D#,jazz,,33,,
51,7,D#,brush,,41,,
51,8,D#,orchestra,,49,,
51,9,D#,sfx,,57,,
52,1,E,standard,Chinese Cymbal,1,,44
52,2,E,room,@,9,,
52,3,E,power,@,17,,
52,4,E,electronic,,25,,
52,5,E,analog,,26,,
52,6,E,jazz,,33,,
52,7,E,brush,,41,,
52,8,E,orchestra,,49,,
52,9,E,sfx,,57,,
53,1,F,standard,Ride Bell,1,,44
53,2,F,room,@,9,,
53,3,F,power,@,17,,
53,4,F,electronic,,25,,
53,5,F,analog,,26,,
53,6,F,jazz,,33,,
53,7,F,brush,,41,,
53,8,F,orchestra,,49,,
53,9,F,sfx,,57,,
54,1,F#,standard,Tambourine,1,,74
54,2,F#,room,@,9,,
54,3,F#,power,@,17,,
54,4,F#,electronic,,25,,
54,5,F#,analog,,26,,
54,6,F#,jazz,,33,,
54,7,F#,brush,,41,,
54,8,F#,orchestra,,49,,
54,9,F#,sfx,,57,,
55,1,G,standard,Splash Cymbal,1,,54
55,2,G,room,@,9,,
55,3,G,power,@,17,,
55,4,G,electronic,,25,,
55,5,G,analog,,26,,
55,6,G,jazz,,33,,
55,7,G,brush,,41,,
55,8,G,orchestra,,49,,
55,9,G,sfx,,57,,
56,1,G#,standard,Cowbell,1,,84
56,2,G#,room,@,9,,
56,3,G#,power,@,17,,
56,4,G#,electronic,,25,,
56,5,G#,analog,,26,,
56,6,G#,jazz,,33,,
56,7,G#,brush,,41,,
56,8,G#,orchestra,,49,,
56,9,G#,sfx,,57,,
57,1,A,standard,Crash Cymbal 2,1,,44
57,2,A,room,@,9,,
57,3,A,power,@,17,,
57,4,A,electronic,,25,,
57,5,A,analog,,26,,
57,6,A,jazz,,33,,
57,7,A,brush,,41,,
57,8,A,orchestra,,49,,
57,9,A,sfx,,57,,
58,1,A#,standard,Vibra-slap,1,,29
58,2,A#,room,@,9,,
58,3,A#,power,@,17,,
58,4,A#,electronic,,25,,
58,5,A#,analog,,26,,
58,6,A#,jazz,,33,,
58,7,A#,brush,,41,,
58,8,A#,orchestra,,49,,
58,9,A#,sfx,,57,,
59,1,B,standard,Ride Cymbal 2,1,,44
59,2,B,room,@,9,,
59,3,B,power,@,17,,
59,4,B,electronic,,25,,
59,5,B,analog,,26,,
59,6,B,jazz,,33,,
59,7,B,brush,,41,,
59,8,B,orchestra,,49,,
59,9,B,sfx,,57,,
60,1,C,standard,High Bongo,1,,99
60,2,C,room,@,9,,
60,3,C,power,@,17,,
60,4,C,electronic,,25,,
60,5,C,analog,,26,,
60,6,C,jazz,,33,,
60,7,C,brush,,41,,
60,8,C,orchestra,,49,,
60,9,C,sfx,,57,,
61,1,C#,standard,Low Bongo,1,,99
61,2,C#,room,@,9,,
61,3,C#,power,@,17,,
61,4,C#,electronic,,25,,
61,5,C#,analog,,26,,
61,6,C#,jazz,,33,,
61,7,C#,brush,,41,,
61,8,C#,orchestra,,49,,
61,9,C#,sfx,,57,,
62,1,D,standard,Mute Hi Conga,1,,39
62,2,D,room,@,9,,
62,3,D,power,@,17,,
62,4,D,electronic,,25,,
62,5,D,analog,,26,,
62,6,D,jazz,,33,,
62,7,D,brush,,41,,
62,8,D,orchestra,,49,,
62,9,D,sfx,,57,,
63,1,D#,standard,Open Hi Conga,1,,39
63,2,D#,room,@,9,,
63,3,D#,power,@,17,,
63,4,D#,electronic,,25,,
63,5,D#,analog,,26,,
63,6,D#,jazz,,33,,
63,7,D#,brush,,41,,
63,8,D#,orchestra,,49,,
63,9,D#,sfx,,57,,
64,1,E,standard,Low Conga,1,,44
64,2,E,room,@,9,,
64,3,E,power,@,17,,
64,4,E,electronic,,25,,
64,5,E,analog,,26,,
64,6,E,jazz,,33,,
64,7,E,brush,,41,,
64,8,E,orchestra,,49,,
64,9,E,sfx,,57,,
65,1,F,standard,High Timbale,1,,84
65,2,F,room,@,9,,
65,3,F,power,@,17,,
65,4,F,electronic,,25,,
65,5,F,analog,,26,,
65,6,F,jazz,,33,,
65,7,F,brush,,41,,
65,8,F,orchestra,,49,,
65,9,F,sfx,,57,,
66,1,F#,standard,Low Timbale,1,,84
66,2,F#,room,@,9,,
66,3,F#,power,@,17,,
